surf_car
50,42
48,22
130,8
109,22
108,65
31,65
52,58
58,71
93,23
117
35,6
138,03
42
45,36
82,6
88,11
164,87
42,2
68,11
82,59
30,23
24,8
52,6
91,69
45,54
84,24
68,23
62,03
112,93
131,91
63,58
35,86
70,09
200
54,84
72,75
94,09
71,08
97,03
44,48
64,21
70,1
76,7
133,77
107,61
42,78
124,55
68,11
70,78
112,3
95,43
63,45
77,3
164,18
66,95
30,62
165,92
51,99
63,17
84,97
88,7
50,64
38
70,53
105,68
46,12
37,63
87,38
50,33
134,17
47,65
99,13
43,42
83,6
54,65
81,15
53,43
74,85
90,33
99,39
123,16
110,13
71,43
56,02
85,12
75
135,68
35,59
62,38
92,04
46,05
34,56
43,23
83,82
38,67
88
56,96
55,4
74,72
295,21
222,97
113,52
127,2
47,6
65,29
81,24
42,89
69,66
69,65
64,44
88,83
35,3
45,5
73,77
67,94
22,2
48,38
56,65
32,27
61,54
82,37
53,81
71,8
63,54
101,52
51,7
114,17
21,48
36,21
44,24
54,7
51
42,92
68,08
70,15
57,23
132,16
58,62
61,89
92,45
71,29
138,05
45,12
70,45
78,54
52,58
30,98
95,66
87,23
92,47
89,2
28,8
46,68
2,36
68,92
68,45
102,52
59,67
77,86
105,12
63,27
133,24
67,33
68,69
58,3
111,06
117,63
85,12
42,01
96,46
57,5
90,4
42,59
50,11
32,6
103,62
135,89
166,98
58,13
38,67
120,5
86,8
41,82
56,63
79,06
65,82
38,43
85,95
48,42
80,87
165,11
71,5
82,54
39,97
146,68
31,6
92
73,5
23,82
37,3
49,1
30,94
65,66
27,19
46,92
78,3
88,5
24,05
92,54
60,05
89
23,86
25
148,41
47,44
80,14
53,42
66,36
28,13
88,14
77,91
26,4
119,4
33,49
96,4
53,22
142,98
50,16
108,49
29,16
79,27
64,21
121,9
145,28
49,99
58,67
55,74
77,56
49,33
47,02
37,18
106
39,62
81,62
41,42
62,15
59,81
20,45
89,56
570
21,4
49,46
45,12
68,95
76,95
72,93
65,9
31,84
20,69
29,36
67,85
51,07
29,21
23,7
73,94
93,89
68,37
73,65
31,62
60,2
48,5
57,74
78,24
64,24
34,46
124,01
34,9
22,19
83,87
107,77
61,4
128,8
58,46
40,06
78,3
106
74,54
81,72
67,64
42,98
40,57
105,71
106,43
29,74
65,4
144,6
24,74
32,89
20,92
93,76
20,73
26,6
40
27,46
51,42
71,39
41,16
65,5
34,95
60,66
24,32
23,02
59,73
33,05
23,25
30,47
28,33
35,97
20,85
20,55
142,9
18,44
26,76
53,1
35,2
18,84
80,26
76,81
79,54
72,07
29,66
29,03
82,37
33,8
19,72
15
58,96
42,73
25,32
14,41
38,97
44,44
27,26
83,88
25,55
40,4
136,86
90,75
59,36
26,99
67,22
39,16
25,07
63,73
102,87
82,11
23,35
30,05
49,2
24,25
37,55
108,85
73,99
28,02
22,91
27,36
27,22
92,94
30,95
62,43
35,71
61,53
27,18
18
24,87
62,85
56,52
52,45
67
28,48
54,33
35,65
21,35
32,84
19,28
55,5
73,48
75,06
83,46
89,06
25,08
26,41
54,79
42,72
45,2
44,24
41,7
46,21
64,99
97,07
27,5
54,64
44,2
16,61
46,42
25,44
17,31
22,9
46,93
38,9
152,65
36,42
25,95
53,81
30
24,89
45,22
22,92
11,43
16,81
68,19
59,5
28,4
18,26
28,9
25,9
30
29,85
21,71
69,7
60,28
75,3
26,09
64,96
17,6
119,9
36,24
25,35
99,22
28
27,45
245,13
56,04
50,05
20,5
25,4
130,2
17,14
56,19
